Location,Target,Value
AL,Target,0.00719459
AL,Target,0.01680250
AL,Target,0.02436719
AL,Target,0.03092558
AL,Target,0.03677196
AL,Target,0.04204402
AL,Target,0.04681618
AL,Target,0.05112965
AL,Target,0.05500478
AL,Target,0.05844635
AL,Target,0.06144552
AL,Target,0.06397935
AL,Target,0.06600809
AL,Target,0.06746928
AL,Target,0.06826637
AL,Target,0.06824582
AL,Target,0.06714675
AL,Target,0.06446910
AL,Target,0.05900561
AL,Target,0.04446132
AK,Target,0.00719459
AK,Target,0.01680250
AK,Target,0.02436719
AK,Target,0.03092558
AK,Target,0.03677196
AK,Target,0.04204402
AK,Target,0.04681618
AK,Target,0.05112965
AK,Target,0.05500478
AK,Target,0.05844635
AK,Target,0.06144552
AK,Target,0.06397935
AK,Target,0.06600809
AK,Target,0.06746928
AK,Target,0.06826637
AK,Target,0.06824582
AK,Target,0.06714675
AK,Target,0.06446910
AK,Target,0.05900561
AK,Target,0.04446132
