Location,Target,Value
AL,Target,0.02670436
AL,Target,0.04248569
AL,Target,0.05057069
AL,Target,0.05589974
AL,Target,0.05955817
AL,Target,0.06201654
AL,Target,0.06352651
AL,Target,0.06423739
AL,Target,0.06424208
AL,Target,0.06359801
AL,Target,0.06233765
AL,Target,0.06047332
AL,Target,0.05799869
AL,Target,0.05488718
AL,Target,0.05108655
AL,Target,0.04650693
AL,Target,0.04099464
AL,Target,0.03426737
AL,Target,0.02570616
AL,Target,0.01290236
AK,Target,0.02670436
AK,Target,0.04248569
AK,Target,0.05057069
AK,Target,0.05589974
AK,Target,0.05955817
AK,Target,0.06201654
AK,Target,0.06352651
AK,Target,0.06423739
AK,Target,0.06424208
AK,Target,0.06359801
AK,Target,0.06233765
AK,Target,0.06047332
AK,Target,0.05799869
AK,Target,0.05488718
AK,Target,0.05108655
AK,Target,0.04650693
AK,Target,0.04099464
AK,Target,0.03426737
AK,Target,0.02570616
AK,Target,0.01290236
