Location,Target,Value
AL,Target,0.08385756
AL,Target,0.08543105
AL,Target,0.08318797
AL,Target,0.08001446
AL,Target,0.07635963
AL,Target,0.07239733
AL,Target,0.06821455
AL,Target,0.06386125
AL,Target,0.05936861
AL,Target,0.05475710
AL,Target,0.05004046
AL,Target,0.04522784
AL,Target,0.04032492
AL,Target,0.03533448
AL,Target,0.03025644
AL,Target,0.02508746
AL,Target,0.01981958
AL,Target,0.01443689
AL,Target,0.00890539
AL,Target,0.00311706
AK,Target,0.08385756
AK,Target,0.08543105
AK,Target,0.08318797
AK,Target,0.08001446
AK,Target,0.07635963
AK,Target,0.07239733
AK,Target,0.06821455
AK,Target,0.06386125
AK,Target,0.05936861
AK,Target,0.05475710
AK,Target,0.05004046
AK,Target,0.04522784
AK,Target,0.04032492
AK,Target,0.03533448
AK,Target,0.03025644
AK,Target,0.02508746
AK,Target,0.01981958
AK,Target,0.01443689
AK,Target,0.00890539
AK,Target,0.00311706
